attendance,away_score,away_team,date,home_score,home_team,referee,season,week
"31,518",0,Leicester City,2025-04-26,3,Wolves,Match Report,2024-2025,34
"28,946",2,Fulham,2025-04-26,1,Southampton,Match Report,2024-2025,34
"52,171",0,Ipswich Town,2025-04-26,3,Newcastle Utd,Match Report,2024-2025,34
"11,241",1,Manchester Utd,2025-04-27,1,Bournemouth,Match Report,2024-2025,34
"60,415",1,Tottenham,2025-04-27,5,Liverpool,Match Report,2024-2025,34
"29,040",2,Brentford,2025-05-01,0,Nott'ham Forest,Match Report,2024-2025,34
"53,282",0,Wolves,2025-05-02,1,Manchester City,Match Report,2024-2025,35
"42,515",0,Fulham,2025-05-03,1,Aston Villa,Match Report,2024-2025,35
"31,240",0,Southampton,2025-05-03,2,Leicester City,Match Report,2024-2025,35
"39,305",2,Ipswich Town,2025-05-03,2,Everton,Match Report,2024-2025,35
"60,110",2,Bournemouth,2025-05-03,1,Arsenal,Match Report,2024-2025,35
"31,580",1,Newcastle Utd,2025-05-04,1,Brighton,Match Report,2024-2025,35
"62,468",1,Tottenham,2025-05-04,1,West Ham,Match Report,2024-2025,35
"18,915",3,Manchester Utd,2025-05-04,4,Brentford,Match Report,2024-2025,35
"39,829",1,Liverpool,2025-05-04,3,Chelsea,Match Report,2024-2025,35
"25,096",1,Nott'ham Forest,2025-05-05,1,Crystal Palace,Match Report,2024-2025,35
"29,511",1,Brentford,2025-05-10,0,Ipswich Town,Match Report,2024-2025,36
"27,653",3,Everton,2025-05-10,1,Fulham,Match Report,2024-2025,36
"31,279",2,Brighton,2025-05-10,0,Wolves,Match Report,2024-2025,36
"30,937",0,Manchester City,2025-05-10,0,Southampton,Match Report,2024-2025,36
"11,187",1,Aston Villa,2025-05-10,0,Bournemouth,Match Report,2024-2025,36
"52,231",0,Chelsea,2025-05-11,2,Newcastle Utd,Match Report,2024-2025,36
"30,245",2,Leicester City,2025-05-11,2,Nott'ham Forest,Match Report,2024-2025,36
"60,254",2,Crystal Palace,2025-05-11,0,Tottenham,Match Report,2024-2025,36
"73,804",2,West Ham,2025-05-11,0,Manchester Utd,Match Report,2024-2025,36
"60,324",2,Arsenal,2025-05-11,2,Liverpool,Match Report,2024-2025,36
"42,239",0,Tottenham,2025-05-16,2,Aston Villa,Match Report,2024-2025,37
"39,849",0,Manchester Utd,2025-05-16,1,Chelsea,Match Report,2024-2025,37
"39,201",0,Southampton,2025-05-18,2,Everton,Match Report,2024-2025,37
"62,466",2,Nott'ham Forest,2025-05-18,1,West Ham,Match Report,2024-2025,37
"17,136",3,Fulham,2025-05-18,2,Brentford,Match Report,2024-2025,37
"31,986",0,Ipswich Town,2025-05-18,2,Leicester City,Match Report,2024-2025,37
"60,160",0,Newcastle Utd,2025-05-18,1,Arsenal,Match Report,2024-2025,37
"31,611",2,Liverpool,2025-05-19,3,Brighton,Match Report,2024-2025,37
"52,487",1,Bournemouth,2025-05-20,3,Manchester City,Match Report,2024-2025,37
"24,766",2,Wolves,2025-05-20,4,Crystal Palace,Match Report,2024-2025,37
"73,839",0,Aston Villa,2025-05-25,2,Manchester Utd,Match Report,2024-2025,38
"29,771",3,West Ham,2025-05-25,1,Ipswich Town,Match Report,2024-2025,38
"31,382",1,Brentford,2025-05-25,1,Wolves,Match Report,2024-2025,38
"31,289",2,Arsenal,2025-05-25,1,Southampton,Match Report,2024-2025,38
"60,382",1,Crystal Palace,2025-05-25,1,Liverpool,Match Report,2024-2025,38
"30,263",1,Chelsea,2025-05-25,0,Nott'ham Forest,Match Report,2024-2025,38
"27,671",2,Manchester City,2025-05-25,0,Fulham,Match Report,2024-2025,38
"52,221",1,Everton,2025-05-25,0,Newcastle Utd,Match Report,2024-2025,38
"11,238",0,Leicester City,2025-05-25,2,Bournemouth,Match Report,2024-2025,38
"61,449",4,Brighton,2025-05-25,1,Tottenham,Match Report,2024-2025,38
